公表日時,時間,結果（%）
2023-10-17,21:30,0.7
2023-09-14,21:30,0.6
2023-08-15,21:30,0.7
2023-07-18,21:30,0.2
2023-06-15,21:30,0.3
2023-05-16,21:30,0.4
2023-04-14,21:30,-1.0
2023-03-15,21:30,-0.4
2023-02-15,22:30,3.0
2023-01-18,22:30,-1.1
2022-12-15,22:30,-0.6
2022-11-16,22:30,1.3
2022-10-14,21:30,0.0
2022-09-15,21:30,0.3
2022-08-17,21:30,0.0
2022-07-15,21:30,1.0
2022-06-15,21:30,-0.3
2022-05-17,21:30,0.9
2022-04-14,21:30,0.5
2022-03-16,21:30,0.3
2022-02-16,22:30,3.8
2022-01-14,22:30,-1.9
2021-12-15,22:30,0.3
2021-11-16,22:30,1.7
2021-10-15,21:30,0.7
2021-09-16,21:30,0.7
2021-08-17,21:30,-1.1
2021-07-16,21:30,0.6
2021-06-15,21:30,-1.3
2021-05-14,21:30,0.0
2021-04-15,21:30,9.8
2021-03-16,21:30,-3.0
2021-02-17,22:30,5.3
2021-01-15,22:30,-0.7
2020-12-16,22:30,-1.1
2020-11-17,22:30,0.3
2020-10-16,21:30,1.9
2020-09-16,21:30,0.6
2020-08-14,21:30,1.2
2020-07-16,21:30,7.5
2020-06-16,21:30,17.7
2020-05-15,21:30,-16.4
2020-04-15,21:30,-8.7
2020-03-17,21:30,-0.5
2020-02-14,22:30,0.3
2020-01-16,22:30,0.3
2019-12-13,22:30,0.2
2019-11-15,22:30,0.3
2019-10-16,21:30,-0.3
2019-09-13,21:30,0.4
2019-08-15,21:30,0.7
2019-07-16,21:30,0.4
2019-06-14,21:30,0.5
2019-05-15,21:30,-0.2
2019-04-18,21:30,1.6
2019-04-01,21:30,-0.2
2019-03-11,21:30,0.2
2019-02-14,22:30,-1.2
2018-12-14,22:30,0.2
2018-11-15,22:30,0.8
2018-10-15,21:30,0.1
2018-09-14,21:30,0.1
2018-08-15,21:30,0.5
2018-07-16,21:30,0.5
2018-06-14,21:30,0.8
2018-05-15,21:30,0.3
2018-04-16,21:30,0.6
2018-03-14,21:30,-0.1
2018-02-14,22:30,-0.3
2018-01-12,22:30,0.4
2017-12-14,22:30,0.8
2017-11-15,22:30,0.2
2017-10-13,21:30,1.6
2017-09-15,21:30,-0.2
2017-08-15,21:30,0.6
2017-07-14,21:30,-0.2
2017-06-14,21:30,-0.3
2017-05-12,21:30,0.4
2017-04-14,21:30,-0.2
2017-03-15,21:30,0.1
2017-02-15,22:30,0.4
2017-01-13,22:30,0.6
2016-12-14,22:30,0.1
2016-11-15,22:30,0.8
2016-10-14,21:30,0.6
2016-09-15,21:30,-0.3
2016-08-12,21:30,0.0
2016-07-15,21:30,0.6
2016-06-14,21:30,0.5
2016-05-13,21:30,1.3
2016-04-13,21:30,-0.3
2016-03-15,21:30,-0.1
2016-02-12,22:30,0.2
2016-01-15,22:30,-0.1
2015-12-11,22:30,0.2
2015-11-13,22:30,0.1
2015-10-14,21:30,0.1
2015-09-15,21:30,0.2
2015-08-13,21:30,0.6
2015-07-14,21:30,-0.3
2015-06-11,21:30,1.2
2015-05-13,21:30,0.0
2015-04-14,21:30,0.9
2015-03-12,21:30,-0.6
2015-02-12,22:30,-0.8
2015-01-14,22:30,-0.9
2014-12-11,22:30,0.7
2014-11-14,22:30,0.3
2014-10-15,21:30,-0.3
2014-09-12,21:30,0.6
2014-08-13,21:30,0.0
2014-07-15,21:30,0.2
2014-06-12,21:30,0.3
2014-05-13,21:30,0.1
2014-04-14,21:30,1.1
2014-03-13,21:30,0.3
2014-02-13,22:30,-0.4
2014-01-14,22:30,0.2
2013-12-12,22:30,0.7
2013-11-20,22:30,0.4
2013-10-29,21:30,-0.1
2013-09-13,21:30,0.2
2013-08-13,21:30,0.2
2013-07-15,21:30,0.4
2013-06-13,21:30,0.6
2013-05-13,21:30,0.1
2013-04-12,21:30,-0.4
2013-03-13,21:30,1.1
2013-02-13,22:30,0.1
2013-01-15,22:30,0.5
2012-12-13,22:30,0.3
2012-11-14,22:30,-0.3
2012-10-15,21:30,1.1
2012-09-14,21:30,0.9
2012-08-14,21:30,0.8
2012-07-16,21:30,-0.5
2012-06-13,21:30,-0.2
2012-05-15,21:30,0.1
2012-04-16,21:30,0.8
2012-03-13,21:30,1.1
2012-02-14,22:30,0.4
2012-01-12,22:30,0.1
2011-12-13,22:30,0.2
2011-11-15,22:30,0.5
2011-10-14,21:30,1.1
2011-09-14,21:30,0.0
2011-08-12,21:30,0.5
2011-07-14,21:30,0.1
2011-06-14,21:30,-0.2
2011-05-12,21:30,0.5
2011-04-13,21:30,0.4
2011-03-11,22:30,1.0
2011-02-15,22:30,0.3
2011-01-14,22:30,0.6
2010-12-14,22:30,0.8
2010-11-15,22:30,1.2
2010-10-15,21:30,0.6
2010-09-14,21:30,0.4
2010-08-13,21:30,0.4
2010-07-14,21:30,-0.5
2010-06-11,21:30,-1.2
2010-05-14,21:30,0.4
2010-04-14,21:30,1.6
2010-03-12,22:30,0.3
2010-02-12,22:30,0.5
2010-01-14,22:30,-0.3
2009-12-11,22:30,1.3
2009-11-16,22:30,1.4
2009-10-14,21:30,-1.5
2009-09-15,21:30,2.7
2009-08-13,21:30,-0.1
2009-07-14,21:30,0.6
2009-06-11,21:30,0.5
2009-05-13,21:30,-0.4
2009-04-14,21:30,-1.1
2009-02-12,21:30,-0.1
2009-01-14,22:30,-2.7
2008-12-12,22:30,-1.8
2008-11-14,22:30,-2.8
2008-10-15,21:30,-1.2
2008-09-12,21:30,-0.3
2008-08-13,21:30,-0.1
2008-07-15,21:30,0.1
2008-06-12,22:30,1.0
2008-05-13,22:30,-0.2
2008-04-14,21:30,0.2
2008-03-13,21:30,-0.6
2008-02-13,22:30,0.0
2008-01-01,18:00,-0.7
2007-12-01,18:00,0.8
2007-11-01,18:00,0.3
2007-10-01,18:00,0.8
2007-09-01,18:00,0.3
2007-08-01,18:00,0.5
2007-07-01,18:00,-0.7
2007-06-01,18:00,1.3
2007-05-01,18:00,-0.4
2007-04-01,18:00,1.0
2007-03-01,18:00,0.2
2007-02-01,18:00,-0.4
2007-01-01,18:00,1.5
2006-12-01,18:00,0.2
2006-11-01,18:00,0.0
2006-10-01,18:00,-0.4
2006-09-01,18:00,0.1
2006-08-01,18:00,0.6
2006-07-01,18:00,0.4
2006-06-01,18:00,-0.4
2006-05-01,18:00,0.4
2006-04-01,18:00,0.5
2006-03-01,18:00,-0.9
2006-02-01,18:00,3.1
2006-01-01,18:00,-0.1
2005-12-01,18:00,0.8
2005-11-01,18:00,0.4
2005-10-01,18:00,0.2
2005-09-01,18:00,-1.4
2005-08-01,18:00,1.0
2005-07-01,18:00,2.9
2005-06-01,18:00,-0.9
2005-05-01,18:00,1.6
2005-04-01,18:00,-0.1
2005-03-01,18:00,0.8
2005-02-01,18:00,-0.6
2005-01-01,18:00,1.2
2004-12-01,18:00,0.4
2004-11-01,18:00,0.6
2004-10-01,18:00,1.8
2004-09-01,18:00,0.1
2004-08-01,18:00,1.1
2004-07-01,18:00,-1.3
2004-06-01,18:00,1.7
2004-05-01,18:00,-1.1
2004-04-01,18:00,1.8
2004-03-01,18:00,0.7
2004-02-01,18:00,0.6
2004-01-01,18:00,-0.4
2003-12-01,18:00,1.2
2003-11-01,18:00,-0.4
2003-10-01,18:00,-0.6
2003-09-01,18:00,1.6
2003-08-01,18:00,1.0
2003-07-01,18:00,1.1
2003-06-01,18:00,0.3
2003-05-01,18:00,-0.2
2003-04-01,18:00,1.8
2003-03-01,18:00,-1.4
2003-02-01,18:00,0.5
2003-01-01,18:00,0.8
2002-12-01,18:00,0.6
2002-11-01,18:00,0.4
2002-10-01,18:00,-1.4
2002-09-01,18:00,0.7
2002-08-01,18:00,1.1
2002-07-01,18:00,0.8
2002-06-01,18:00,-1.3
2002-05-01,18:00,1.6
2002-04-01,18:00,-0.3
2002-03-01,18:00,0.5
2002-02-01,18:00,0.0
2002-01-01,18:00,-1.1
2001-12-01,18:00,-2.6
2001-11-01,18:00,6.7
2001-10-01,18:00,-1.9
2001-09-01,18:00,0.7
2001-08-01,18:00,-0.3
2001-07-01,18:00,-0.4
2001-06-01,18:00,0.3
2001-05-01,18:00,1.6
2001-04-01,18:00,-0.8
2001-03-01,18:00,0.0
2001-02-01,18:00,1.2
2001-01-01,18:00,-0.1
2000-12-01,18:00,-0.4
2000-11-01,18:00,-0.2
2000-10-01,18:00,1.7
2000-09-01,18:00,0.1
2000-08-01,18:00,-0.3
2000-07-01,18:00,0.7
2000-06-01,18:00,0.2
2000-05-01,18:00,-1.5
2000-04-01,18:00,1.2
2000-03-01,18:00,1.5
2000-02-01,18:00,-0.7
2000-01-01,18:00,1.9
1999-12-01,18:00,1.2
1999-11-01,18:00,0.2
1999-10-01,18:00,0.4
1999-09-01,18:00,1.1
1999-08-01,18:00,0.8
1999-07-01,18:00,0.3
1999-06-01,18:00,0.9
1999-05-01,18:00,0.7
1999-04-01,18:00,0.5
1999-03-01,18:00,1.1
1999-02-01,18:00,0.1
1999-01-01,18:00,0.9
1998-12-01,18:00,0.7
1998-11-01,18:00,1.7
1998-10-01,18:00,0.9
1998-09-01,18:00,-0.4
1998-08-01,18:00,-0.6
1998-07-01,18:00,0.8
1998-06-01,18:00,0.5
1998-05-01,18:00,1.3
1998-04-01,18:00,0.6
1998-03-01,18:00,0.0
1998-02-01,18:00,0.2
1998-01-01,18:00,0.3
1997-12-01,18:00,0.3
1997-11-01,18:00,-0.2
1997-10-01,18:00,0.4
1997-09-01,18:00,0.3
1997-08-01,18:00,1.2
1997-07-01,18:00,1.4
1997-06-01,18:00,-0.7
1997-05-01,18:00,-0.7
1997-04-01,18:00,0.3
1997-03-01,18:00,0.8
1997-02-01,18:00,0.7
1997-01-01,18:00,0.4
1996-12-01,18:00,0.0
1996-11-01,18:00,0.8
1996-10-01,18:00,1.3
1996-09-01,18:00,0.0
1996-08-01,18:00,0.1
1996-07-01,18:00,-0.1
1996-06-01,18:00,0.8
1996-05-01,18:00,0.4
1996-04-01,18:00,0.9
1996-03-01,18:00,1.6
1996-02-01,18:00,-0.8
1996-01-01,18:00,0.8
1995-12-01,18:00,1.2
1995-11-01,18:00,-0.4
1995-10-01,18:00,0.2
1995-09-01,18:00,0.8
1995-08-01,18:00,-0.3
1995-07-01,18:00,1.2
1995-06-01,18:00,1.0
1995-05-01,18:00,0.4
1995-04-01,18:00,0.9
1995-03-01,18:00,-1.6
1995-02-01,18:00,0.5
1995-01-01,18:00,0.5
1994-12-01,18:00,0.1
1994-11-01,18:00,0.9
1994-10-01,18:00,0.8
1994-09-01,18:00,1.2
1994-08-01,18:00,0.3
1994-07-01,18:00,1.2
1994-06-01,18:00,-0.4
1994-05-01,18:00,0.0
1994-04-01,18:00,1.9
1994-03-01,18:00,1.6
1994-02-01,18:00,-0.6
1994-01-01,18:00,0.9
1993-12-01,18:00,1.0
1993-11-01,18:00,0.6
1993-10-01,18:00,0.6
1993-09-01,18:00,0.0
1993-08-01,18:00,1.4
1993-07-01,18:00,-0.1
1993-06-01,18:00,0.9
1993-05-01,18:00,2.6
1993-04-01,18:00,-0.8
1993-03-01,18:00,-0.7
1993-02-01,18:00,1.2
1993-01-01,18:00,1.2
1992-12-01,18:00,0.2
1992-11-01,18:00,0.8
1992-10-01,18:00,1.0
1992-09-01,18:00,0.3
1992-08-01,18:00,0.7
1992-07-01,18:00,0.3
1992-06-01,18:00,0.5
1992-05-01,18:00,0.6
1992-04-01,18:00,-0.3
1992-03-01,18:00,0.1
