datetime	code	pred_high_20	pred_low_20
2023-09-22	4393	0.331749	-0.018803
2023-09-28	7068	0.320615	-0.028444
2023-09-11	3399	0.292847	-0.009068
2023-09-08	9166	0.282250	-0.084508
2023-09-29	1514	0.271671	-0.094321
2023-09-25	5027	0.271452	-0.077773
2023-09-08	3843	0.233600	0.013987
2023-09-13	6419	0.210692	-0.033408
2023-09-11	8142	0.208743	-0.022063
2023-09-14	5032	0.208231	-0.042845
2023-09-14	9556	0.200092	-0.079178
2023-09-20	9229	0.199543	-0.055963
2023-09-28	4552	0.197411	-0.042706
2023-09-19	5036	0.191010	-0.062208
2023-09-13	4431	0.184404	-0.094124
2023-09-14	7683	0.176811	-0.015929
2023-09-22	7354	0.174683	-0.041962
2023-09-11	2929	0.170644	-0.053274
2023-09-14	6184	0.168568	-0.043468
2023-09-14	7033	0.166891	-0.071793
2023-09-08	4382	0.163312	-0.118194
2023-08-31	4933	0.159296	-0.066054
2023-09-19	6905	0.157962	-0.008348
2023-09-13	7095	0.156990	-0.092598
2023-09-29	6556	0.156653	-0.083328
2023-09-11	6387	0.155853	-0.077548
2023-09-08	6040	0.152885	-0.083386