会社コード	会社名	datetime	予測高値20	予測低値20	IPOからの経過期間	IPO日	最新財務諸表日時	最新財務諸表からの経過月日	17業種	33業種
50270	ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ	2023-09-25 00:00:00	0.271452	-0.077773	0年9ヶ月12日	2023-05-12 00:00:00	2024-02-14 15:45:00	0年0ヶ月9日	情報通信・サービスその他	情報･通信業
65560	ウェルビー	2023-09-29 00:00:00	0.156653	-0.083328	6年3ヶ月11日	2017-11-13 00:00:00	2024-02-13 16:00:00	0年0ヶ月10日	情報通信・サービスその他	サービス業
50360	日本ビジネスシステムズ	2023-09-19 00:00:00	0.19101	-0.062208	1年6ヶ月15日	2022-08-09 00:00:00	2024-02-13 15:00:00	0年0ヶ月10日	情報通信・サービスその他	情報･通信業
73540	ダイレクトマーケティングミックス	2023-09-22 00:00:00	0.174683	-0.041962	3年3ヶ月11日	2020-11-13 00:00:00	2024-02-13 15:00:00	0年0ヶ月10日	情報通信・サービスその他	サービス業
43930	バンク・オブ・イノベーション	2023-09-22 00:00:00	0.331749	-0.018803	5年6ヶ月10日	2018-08-14 00:00:00	2024-02-13 15:00:00	0年0ヶ月10日	情報通信・サービスその他	情報･通信業
92290	サンウェルズ	2023-09-20 00:00:00	0.199543	-0.055963	1年6ヶ月14日	2022-08-10 00:00:00	2024-02-09 15:00:00	0年0ヶ月14日	情報通信・サービスその他	サービス業
49330	Ｉ−ｎｅ	2023-08-31 00:00:00	0.159296	-0.066054	3年3ヶ月11日	2020-11-13 00:00:00	2024-02-09 15:00:00	0年0ヶ月14日	素材・化学	化学
64190	マースグループホールディングス	2023-09-13 00:00:00	0.210692	-0.033408	9年10ヶ月20日	2014-04-04 00:00:00	2024-01-31 16:00:00	0年0ヶ月23日	機械	機械
15140	住石ホールディングス	2023-09-29 00:00:00	0.271671	-0.094321	9年10ヶ月9日	2014-04-15 00:00:00	2024-01-31 15:00:00	0年0ヶ月23日	エネルギー資源	鉱業
45520	ＪＣＲファーマ	2023-09-28 00:00:00	0.197411	-0.042706	9年9ヶ月15日	2014-05-09 00:00:00	2024-01-26 16:00:00	0年0ヶ月28日	医薬品	医薬品
70680	フィードフォースグループ	2023-09-28 00:00:00	0.320615	-0.028444	4年7ヶ月12日	2019-07-12 00:00:00	2023-12-27 15:00:00	0年1ヶ月27日	情報通信・サービスその他	サービス業
70330	マネジメントソリューションズ	2023-09-14 00:00:00	0.166891	-0.071793	5年5ヶ月10日	2018-09-14 00:00:00	2023-12-20 17:30:00	0年2ヶ月3日	情報通信・サービスその他	サービス業
69050	コーセル	2023-09-19 00:00:00	0.157962	-0.008348	9年11ヶ月14日	2014-03-10 00:00:00	2023-12-20 11:30:00	0年2ヶ月3日	電機・精密	電気機器
76830	ダブルエー	2023-09-14 00:00:00	0.176811	-0.015929	4年2ヶ月11日	2019-12-13 00:00:00	2023-12-15 15:00:00	0年2ヶ月8日	小売	小売業
50320	ＡＮＹＣＯＬＯＲ	2023-09-14 00:00:00	0.208231	-0.042845	1年8ヶ月10日	2022-06-14 00:00:00	2023-12-14 15:00:00	0年2ヶ月9日	情報通信・サービスその他	情報･通信業
70950	Ｍａｃｂｅｅ　Ｐｌａｎｅｔ	2023-09-13 00:00:00	0.15699	-0.092598	3年8ヶ月12日	2020-06-12 00:00:00	2023-12-14 15:00:00	0年2ヶ月9日	情報通信・サービスその他	サービス業
61840	鎌倉新書	2023-09-14 00:00:00	0.168568	-0.043468	8年2ヶ月14日	2015-12-10 00:00:00	2023-12-14 15:00:00	0年2ヶ月9日	情報通信・サービスその他	サービス業
44310	スマレジ	2023-09-13 00:00:00	0.184404	-0.094124	4年11ヶ月9日	2019-03-15 00:00:00	2023-12-13 15:30:00	0年2ヶ月10日	情報通信・サービスその他	情報･通信業
95560	ＩＮＴＬＯＯＰ	2023-09-14 00:00:00	0.200092	-0.079178	1年5ヶ月10日	2022-09-14 00:00:00	2023-12-13 15:00:00	0年2ヶ月10日	情報通信・サービスその他	サービス業
33990	丸千代山岡家	2023-09-11 00:00:00	0.292847	-0.009068	9年11ヶ月17日	2014-03-07 00:00:00	2023-12-11 16:00:00	0年2ヶ月12日	小売	小売業
63870	サムコ	2023-09-11 00:00:00	0.155853	-0.077548	9年11ヶ月13日	2014-03-11 00:00:00	2023-12-11 15:30:00	0年2ヶ月12日	機械	機械
91660	ＧＥＮＤＡ	2023-09-08 00:00:00	0.28225	-0.084508	0年5ヶ月16日	2023-09-08 00:00:00	2023-12-11 15:00:00	0年2ヶ月12日	情報通信・サービスその他	サービス業
29290	ファーマフーズ	2023-09-11 00:00:00	0.170644	-0.053274	9年11ヶ月11日	2014-03-13 00:00:00	2023-12-11 15:00:00	0年2ヶ月12日	食品	食料品
81420	トーホー	2023-09-11 00:00:00	0.208743	-0.022063	9年11ヶ月21日	2014-03-03 00:00:00	2023-12-11 15:00:00	0年2ヶ月12日	商社・卸売	卸売業
43820	ＨＥＲＯＺ	2023-09-08 00:00:00	0.163312	-0.118194	5年8ヶ月16日	2018-06-08 00:00:00	2023-12-08 15:30:00	0年2ヶ月15日	情報通信・サービスその他	情報･通信業
60400	日本スキー場開発	2023-09-08 00:00:00	0.152885	-0.083386	8年8ヶ月27日	2015-05-28 00:00:00	2023-12-08 15:00:00	0年2ヶ月15日	情報通信・サービスその他	サービス業
38430	フリービット	2023-09-08 00:00:00	0.2336	0.013987	9年11ヶ月11日	2014-03-13 00:00:00	2023-12-08 15:00:00	0年2ヶ月15日	情報通信・サービスその他	情報･通信業