	code	pred_high_20	pred_low_20
datetime			
2024-02-22	4563	0.291898	-0.106309
2024-02-22	3656	0.234129	-0.138894
2024-02-22	4707	0.224255	-0.078614
2024-02-22	7477	0.210386	-0.110264
2024-02-22	3842	0.208379	-0.038516
2024-02-22	7048	0.170009	-0.134058
2024-02-22	3816	0.147112	-0.050757
2024-02-22	2055	0.110733	-0.052947
2024-02-21	3550	0.110092	-0.071427
2024-02-22	4819	0.105622	-0.086730
2024-02-22	6209	0.101262	-0.090180
2024-02-22	7865	0.093772	-0.094808
2024-02-22	9368	0.092130	-0.023985
2024-02-21	4317	0.088558	-0.042956
2024-02-22	3934	0.084597	-0.057842
2024-02-21	3353	0.082686	-0.011368